3,菠萝,KG,2
4,大白菜,KG,2.2
5,土豆,KG,2.4
6,胡萝卜,KG,2.5
7,酥梨,KG,2.6
8,大葱,KG,3.2
9,西瓜,KG,3.7
10,哈密瓜,KG,3.7
11,香蕉,KG,3.8
12,韭菜,KG,3.8
13,白萝卜,KG,4
14,山药,KG,4.6
15,生姜,KG,5
16,莴笋,KG,5.9
17,生菜,KG,6.2
18,西红柿,KG,6.2
19,青椒,KG,6.2
20,圆茄子,KG,7
21,长茄子,KG,7.5
22,猕猴桃,KG,7.5
23,木瓜,KG,7.8
24,菜花,KG,7.9
25,芹菜,KG,8
26,西葫芦,KG,8
27,芒果,KG,8
28,红尖椒,KG,9
29,苦瓜,KG,10
30,巨峰葡萄,KG,10.5
31,黄瓜,KG,11
32,红提子,KG,12.5
33,西兰花,KG,13
34,菠菜,KG,14
1,白萝卜,KG,4
2,标准粉,KG,4.5
3,籼米(晚籼米),KG,4.5
4,粳米(普通),KG,5.2
5,胡萝卜,KG,5.6
6,韭菜,KG,6
7,小白菜,KG,7
8,长茄子,KG,7
9,西红柿,KG,7.6
10,青椒,KG,7.8
11,富士苹果,KG,8
12,色拉油,KG,10
13,白鲢活鱼,KG,10
14,红皮鸡蛋,KG,11
15,西兰花,KG,11
16,菜油(散装),KG,14
17,猪肉(白条猪),KG,19.8
18,鳊鱼,KG,24
1,冬瓜,KG,0.8
2,红萝卜,KG,2
3,大白菜,KG,2
4,甘蔗,KG,2.3
5,蜜桔,KG,2.5
6,葱头,KG,2.5
7,酥梨,KG,3
8,胡萝卜,KG,3
9,柿子,KG,3
10,韭菜,KG,3.5
11,桃子,KG,3.5
12,西瓜,KG,3.8
13,茄子,KG,4
14,洋白菜,KG,4.5
15,哈密瓜,KG,4.5
16,红星苹果,KG,5
17,油菜,KG,5
18,芹菜,KG,5
19,生姜,KG,5
20,大葱,KG,5
21,青椒,KG,5
22,小白菜,KG,5.5
23,西红柿,KG,5.5
24,莲藕,KG,6.5
25,富士苹果,KG,7
26,巨峰葡萄,KG,7
27,大蒜,KG,7.5
28,生菜,KG,8
29,芒果,KG,8
30,猕猴桃,KG,8
31,蒜薹,KG,8
32,西葫芦,KG,8
33,葡萄,KG,9
34,菜花,KG,9
35,红枣,KG,10
36,黄瓜,KG,10
37,蒜苗,KG,10
38,石榴,KG,10
39,豇豆,KG,10
40,红椒,KG,11
41,菠菜,KG,12
42,豆角,KG,20
43,香菜,KG,24
